UPDATE SingleCodeCoupon;couponId[unique=true];name[lang=pt];startDate[dateformat=dd-MM-yyyy HH:mm:ss];endDate[dateformat=dd-MM-yyyy HH:mm:ss];maxRedemptionsPerCustomer;maxTotalRedemptions;active[default=true]
;ANIVER162;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER163;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER164;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER165;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER166;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER167;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER168;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER169;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER170;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER171;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER172;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER173;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER174;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER175;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER176;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER177;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER178;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER179;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER180;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER181;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER182;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER183;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER184;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER185;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER186;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
;ANIVER187;Desconto Anacapri /Aniversário 10%;17-03-2020 00:00:00;31-05-2020 23:59:59;1;1000;true
